dataset,source_id,row_id,index_name,index_value,R,qbase,lambda_Q,rank,pdet,effective_rank,source_label,source_reference,source_url,source_note
faithful_current_transport,SRC001,1,mode,1,1.2772624190704134e-14,1.0666666666666667,5.36943251593683e-17,0.066666666666666666,0.325726709742024,1,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,2,mode,2,8.0462490401323041e-15,1.1334945012176538,0.00016116788432045081,0.13333333333333333,0.00021153175913340142,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,3,mode,3,6.1404372502470166e-15,1.2025144383502495,0.0025144383502494531,0.20000000000000001,4.1663867218891917e-05,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,4,mode,4,5.068819269179555e-15,1.2788700896733205,0.012203423006653832,0.26666666666666666,1.8234442171932433e-05,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,5,mode,5,4.3681760284089976e-15,1.3696788621630727,0.0363455288297393,0.33333333333333331,1.1316151593905248e-05,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,6,mode,6,3.8682330735724051e-15,1.4821691441284623,0.08216914412846224,0.40000000000000002,7.3193452742185862e-06,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,7,mode,7,3.4904501571758422e-15,1.6216464012802114,0.15497973461354486,0.46666666666666667,4.1396193394598949e-06,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,8,mode,8,3.1931560476760342e-15,1.7897212209972806,0.2563878876639471,0.53333333333333333,1.8486092520428676e-06,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,9,mode,9,2.9520143285561219e-15,1.9831864234858174,0.38318642348581738,0.59999999999999998,6.1707711612191979e-07,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,10,mode,10,2.7517784639193408e-15,2.1938059522514726,0.52713928558480605,0.66666666666666663,2.4872555187178324e-07,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,11,mode,11,2.5823692640409111e-15,2.4090997952773674,0.67576646194403389,0.73333333333333328,3.5917172215132244e-07,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,12,mode,12,2.4368341376467083e-15,2.6140119122032557,0.81401191220325597,0.80000000000000004,6.1623203859145864e-07,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,13,mode,13,2.310208793294147e-15,2.7931711245868325,0.92650445792016589,0.8666666666666667,8.262179356635479e-07,2,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
faithful_current_transport,SRC001,14,mode,14,2.1988458133173563e-15,2.9333333333333336,1,0.93333333333333335,0.0082224676936539197,1,Current faithful Q-power transport certificate,faithful_qpower_transport_invariance_certificate.json,included/certificate-derived,Rows extracted from canonical_Q_frame in the current faithful transport certificate; copied into CSV so suite has no JSON dependency.
gwtc_predictive_events,SRC002,1,rank,2,0.30665292120499998,1.0192308212879999,0.00018320224038086141,0.019047619047619049,0.015025113176711818,1,GWTC predictive event certificate,events_predictive_q_power_certificate.json,included/certificate-derived; original input events.csv,Rows extracted from GWTC predictive certificate series; zero-radius initial row omitted for log-positive transport.
gwtc_predictive_events,SRC002,2,rank,3,0.26406308015800001,1.028846986377,0.00027555780557143514,0.028571428571428571,2.4103786171090321e-05,2,GWTC predictive event certificate,events_predictive_q_power_certificate.json,included/certificate-derived; original input events.csv,Rows extracted from GWTC predictive certificate series; zero-radius initial row omitted for log-positive transport.
gwtc_predictive_events,SRC002,3,rank,4,0.42971408736299999,1.0384657499429999,0.00037051184776179524,0.038095238095238099,1.5394190105515982e-06,2,GWTC predictive event certificate,events_predictive_q_power_certificate.json,included/certificate-derived; original input events.csv,Rows extracted from GWTC predictive certificate series; zero-radius initial row omitted for log-positive transport.
gwtc_predictive_events,SRC002,4,rank,5,0.82006107141399998,1.048090219271,0.00047117165195237343,0.047619047619047616,5.6154861256427441e-05,2,GWTC predictive event certificate,events_predictive_q_power_certificate.json,included/certificate-derived; original input events.csv,Rows extracted from GWTC predictive certificate series; zero-radius initial row omitted for log-positive transport.
gwtc_predictive_events,SRC002,5,rank,6,0.58652366202200001,1.0577247246899999,0.00058186754714275452,0.057142857142857141,3.5293208198822886e-06,2,GWTC predictive event certificate,events_predictive_q_power_certificate.json,included/certificate-derived; original input events.csv,Rows extracted from GWTC predictive certificate series; zero-radius initial row omitted for log-positive transport.
